BFY,FTYP,FUNDTYPE,APPR,DEPARTMENT,SVC,SERVICE,OBJECTGROUP,BUDCURR,ENCBFY,EXPBFY,ENCEXP
2022,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.11,Public Art for Dallas,Contractual & Other Services,1106,0,40685.72,40685.72
2022,GNFD,General Fund,0001HOU,Housing GF,5.37,Housing Management/Contract Support,Reimbursements,-300000,0,-29597.08,-29597.08
2022,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.45,Subdivision Plat Review,Contractual & Other Services,130921,0,27441.88,27441.88
2023,INSV,Internal Service Fund,0294TRN,Transportation - Office of the Bond Program,5.60,Office of the Bond Program,Personnel Services,0,0,0,0
2022,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.12,Dallas Love Field,Reimbursements,-9868109,0,-7066654.87,-7066654.87
2022,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.08,"EMS Administration, Contracts, and Community Health",Contractual & Other Services,4751531,9185.56,4915106.45,4924292.01
2023,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.08,Construction Plan Review and Permitting,Personnel Services,10929839,0,8432009.3,8432009.3
2022,GNFD,General Fund,0001ATT,City Attorney's Office GF,5.34,General Counsel,Contractual & Other Services,341462,0,42593.38,42593.38
2022,INSV,Internal Service Fund,0294PKR,PKR- Office of the Bond Program,5.60,Office of the Bond Program,Personnel Services,3543878,0,2688261.58,2688261.58
2022,GNFD,General Fund,0001PKR,Park and Recreation GF,4.12,Recreation Services,Personnel Services,17383595.83,0,16563517.75,16563517.75
2022,GNFD,General Fund,0001BSD,Building Services,5.29,Energy Procurement and Monitoring,Contractual & Other Services,101151,0,55080.45,55080.45
2022,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.L,Internal Desktop Support,Supplies & Materials,30000,0,30998.21,30998.21
2023,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.11,Fire Investigation & Explosive Ordnance Disposal,Reimbursements,0,0,-44,-44
2023,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.54,Water Utilities Capital Program Management,Supplies & Materials,412644,68308.69,66430.79,134739.48
2022,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.N,Internal Telephone and Data Communication,Capital Outlay,0,0,99983.38,99983.38
2023,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.52,Water Capital Funding,Transfers Out,358068699,0,282759121.49,282759121.49
2022,GNFD,General Fund,0001PBW,Public Works GF,2.39,Service Maintenance Areas,Reimbursements,-3269433,0,-4271579.81,-4271579.81
2023,GNFD,General Fund,0001OPO,Office of Police Oversight,5.64,Office of Police Oversight,Supplies & Materials,25948,0,11665.58,11665.58
2022,GNFD,General Fund,0001OHS,Office of Homeless Solutions,3.09,Comprehensive Homeless Outreach,Reimbursements,-70000,0,-252891.74,-252891.74
2023,GNFD,General Fund,0001ECO,Economic Development GF,2.13,Economic Development Major Projects & Other Programs,Personnel Services,638908,0,387216.22,387216.22
2022,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.20,Residential Refuse Collection,Supplies & Materials,3966389,45645.02,6779310.07,6824955.09
2023,GNFD,General Fund,0001DPD,Police Department GF,1.21,Police Administrative Support,Contractual & Other Services,29024511,203900.86,23243252.64,23447153.5
2022,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.12,Fire Training and Recruitment,Personnel Services,14825646,0,16556234.77,16556234.77
2022,GNFD,General Fund,0001PKR,Park and Recreation GF,4.10,"Planning, Design, Construction & EMS and Environ Compliance",Transfers Out,0,0,1100000,1100000
2022,GNFD,General Fund,0001BSD,Building Services,3.11,Custodial Maintenance,Personnel Services,2557178,0,2946740.58,2946740.58
2023,GNFD,General Fund,0001PNV,Planning and Urban Design GF,2.75,Zoning,Supplies & Materials,47721,625.99,21221.41,21847.4
2022,GNFD,General Fund,0001BSD,Building Services,3.11,Custodial Maintenance,Reimbursements,-195000,0,-314205.52,-314205.52
2022,GNFD,General Fund,0001PKR,Park and Recreation GF,4.12,Recreation Services,Capital Outlay,7000,0,71846.71,71846.71
2022,GNFD,General Fund,0001OEM,Mgmt Services - Emergency Management,1.07,Emergency Management Operations,Contractual & Other Services,772134,0,611442.29,611442.29
2022,GNFD,General Fund,0001PKR,Park and Recreation GF,4.04,Golf and Tennis Centers,Supplies & Materials,1098454,4902.32,2098709.25,2103611.57
2022,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.16,City Council Support,Supplies & Materials,7035,0,3370.67,3370.67
2022,GNFD,General Fund,0001CMO,City Manager's Office GF,5.41,Office of Strategic Partnerships and Government Affairs,Contractual & Other Services,66500,0,71642.58,71642.58
2022,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.23,Customer Service,Supplies & Materials,2095,0,1001.75,1001.75
2023,GNFD,General Fund,0001EQI,Office of Equity & Inclusion,5.63,Office of Equity,Supplies & Materials,16554,0,233.55,233.55
2022,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.06,Dallas City Marshal,Supplies & Materials,55161,0,73765.68,73765.68
2022,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.35,Flowerdale Ln and Catamore Ln - Dundee Dr to Royal Chapel Dr,Personnel Services,3963816,0,4145535.53,4145535.53
2023,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.55,Water Utilities Customer Account Services,Contractual & Other Services,10387106,151406.25,8746552.72,8897958.97
2022,GNFD,General Fund,0001BSD,Building Services,9.99,Department Support,Supplies & Materials,16462,0,6878,6878
2022,GNFD,General Fund,0001MCC,Mayor and City Council GF,5.03,Administrative Support for the Mayor and City Council,Supplies & Materials,118237,0,64686.37,64686.37
2023,GNFD,General Fund,0001BSD,Building Services,9.99,Department Support,Supplies & Materials,16296,0,8226.29,8226.29
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.54,Water Utilities Capital Program Management,Contractual & Other Services,1892303,270.2,2887775.15,2888045.35
2022,GNFD,General Fund,0001EQI,Office of Equity & Inclusion,5.63,Office of Equity,Supplies & Materials,20246,0,1725.15,1725.15
2023,GNFD,General Fund,0001DPD,Police Department GF,1.24,Police Field Patrol,Reimbursements,-8610683,0,-6323803.74,-6323803.74
2022,GNFD,General Fund,0001CVS,Civil Service GF,5.04,Analysis/Development and Validation,Contractual & Other Services,171580,0,41635.29,41635.29
2022,GNFD,General Fund,0001ATT,City Attorney's Office GF,3.06,Community Courts,Contractual & Other Services,84818,0,65609.17,65609.17
2022,GNFD,General Fund,0001DBI,General Fund DBI,1.37,Data Analytics,Personnel Services,1524283,0,1709888.49,1709888.49
2022,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.11,Fire Investigation & Explosive Ordnance Disposal,Supplies & Materials,37335,69664,169641.74,239305.74
2022,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.01,Adjudication Office,Contractual & Other Services,228847,0,20612.17,20612.17
2023,INSV,Internal Service Fund,0294PKR,PKR- Office of the Bond Program,5.60,Office of the Bond Program,Personnel Services,3399267,0,2177195.69,2177195.69
2023,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.53,Water Production and Delivery,Supplies & Materials,61530560,12842341.78,50982248,63824589.78
2022,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.17,Field Inspections of Private Development Construction Sites,Contractual & Other Services,3431343,0,4517633.6,4517633.6
2022,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.34,Private Development Survey,Contractual & Other Services,118301,0,914.57,914.57
2022,GNFD,General Fund,0001BMS,Office of Financial Services GF,9.99,Department Support,Supplies & Materials,4313,0,1039.98,1039.98
2022,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.11,Fire Investigation & Explosive Ordnance Disposal,Contractual & Other Services,924995,0,1072851.47,1072851.47
2023,GNFD,General Fund,0001CCO,City Controller's Office GF,5.32,Financial Reporting,Contractual & Other Services,855715,21813.61,749579.63,771393.24
2023,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.14,Inspection and Life Safety Education,Capital Outlay,210000,209995,0,209995
2022,GNFD,General Fund,0001TRN,Transportation GF,2.48,Traffic Safety and Congestion Management,Contractual & Other Services,1134463,19040,1162943.12,1181983.12
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.53,Water Production and Delivery,Contractual & Other Services,18209143,422029.18,17222598,17644627.18
2022,GNFD,General Fund,0001ELE,Elections,5.27,Elections,Personnel Services,96038,0,106360.55,106360.55
2022,GNFD,General Fund,0001OFS,Non-Departmental,5.46,Non-Departmental,Contractual & Other Services,23207085,44642.75,14652413.15,14697055.9
2023,GNFD,General Fund,0001PBW,Public Works GF,9.99,Department Support,Supplies & Materials,4110,7827.36,27272.74,35100.1
2023,GNFD,General Fund,0001CCO,City Controller's Office GF,5.24,Deferred Compensation,Contractual & Other Services,181321,0,19753.17,19753.17
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.52,Water Capital Funding,Transfers Out,326460587,0,319001893.64,319001893.64
2023,GNFD,General Fund,0001DPD,Police Department GF,1.26,Police Investigation of Vice Related Crimes,Supplies & Materials,14210,0,40531.24,40531.24
2023,GNFD,General Fund,0001CCS,Code Compliance GF,3.18,Neighborhood Nuisance Abatement,Personnel Services,6787843.24,0,5400564.77,5400564.77
2022,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.02,City-Owned Cultural Venues,Personnel Services,3865356,0,3686250.73,3686250.73
2022,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,3.22,Stormwater Regulations & Enforcement,Personnel Services,1221610,0,1294632.12,1294632.12
2022,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.45,Subdivision Plat Review,Supplies & Materials,6369,0,23737.35,23737.35
2022,INSV,Internal Service Fund,0294TRN,Transportation - Office of the Bond Program,5.60,Office of the Bond Program,Personnel Services,120432,0,85912.47,85912.47
2022,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.03,Cultural Services Contracts,Contractual & Other Services,1806040,47430.29,1843369.59,1890799.88
2022,GNFD,General Fund,0001PKR,Park and Recreation GF,2.30,Operation & Maintenance of Fair Park,Contractual & Other Services,5200000,0,4922233.96,4922233.96
2022,GNFD,General Fund,0001PKR,Park and Recreation GF,4.10,"Planning, Design, Construction & EMS and Environ Compliance",Contractual & Other Services,1626071,0,1687058.15,1687058.15
2022,GNFD,General Fund,0001PBW,Public Works GF,2.41,Street Cut and Right-of-Way Management (Cut Control),Personnel Services,801648,0,1534892,1534892
2022,OTHO,Other Operating Fund,0195ORM,Office of Risk Management,5.P,Risk Management Services,Supplies & Materials,13729,0,16245.4,16245.4
2022,INSV,Internal Service Fund,0196EFM,Equipment and Fleet Management,5.H,Environmental Services for City Fleet Operations,Transfers Out,29484,0,0,0
2022,GNFD,General Fund,0001DPD,Police Department GF,1.22,Police Community Outreach,Reimbursements,0,0,-243.9,-243.9
2022,GNFD,General Fund,0001PKR,Park and Recreation GF,4.10,"Planning, Design, Construction & EMS and Environ Compliance",Capital Outlay,1100000,0,0,0
2022,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.50,Records Management,Supplies & Materials,1375,0,1308.36,1308.36
2023,INSV,Internal Service Fund,0199POM,Express Business Center POM,5.B,Business Services,Reimbursements,-1200000,0,-1016181.4,-1016181.4
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.52,Water Capital Funding,Debt Svc-Interest On Bonds,42466076,0,44947572.88,44947572.88
2022,GNFD,General Fund,0001OHS,Office of Homeless Solutions,3.09,Comprehensive Homeless Outreach,Capital Outlay,0,225014.6,1800,226814.6
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.55,Water Utilities Customer Account Services,Transfers Out,1334338,0,0,0
2022,OTHO,Other Operating Fund,0195ORM,Office of Risk Management,5.P,Risk Management Services,Contractual & Other Services,861785,0,859221.68,859221.68
2023,GNFD,General Fund,0001MCC,Mayor and City Council GF,5.03,Administrative Support for the Mayor and City Council,Personnel Services,5586818,0,4332266.08,4332266.08
2022,GNFD,General Fund,0001BSD,Building Services,5.29,Energy Procurement and Monitoring,Reimbursements,-164278,0,-164278,-164278
2023,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.O,Public Safety Technology Support,Transfers Out,146167,0,83108.84,83108.84
2022,GNFD,General Fund,0001DBI,General Fund DBI,1.38,GIS,Supplies & Materials,93310,0,0,0
2022,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.29,Office of Special Events,Capital Outlay,50000,0,0,0
2022,GNFD,General Fund,0001PER,Human Resources GF,9.99,Department Support,Supplies & Materials,12565,0,325.1,325.1
2023,GNFD,General Fund,0001DPD,Police Department GF,9.99,Department Support,Supplies & Materials,112257,3595.54,166388.38,169983.92
2022,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.17,Field Inspections of Private Development Construction Sites,Supplies & Materials,172100,11.33,139293.54,139304.87
2022,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,3.22,Stormwater Regulations & Enforcement,Supplies & Materials,27263,760,22626.25,23386.25
2023,GNFD,General Fund,0001CMO,City Manager's Office GF,5.14,City Administration,Personnel Services,2361603,0,2206119.57,2206119.57
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.53,Water Production and Delivery,Transfers Out,2738752,0,6652186.66,6652186.66
2022,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.11,Public Art for Dallas,Supplies & Materials,1000,0,0,0
2022,INSV,Internal Service Fund,0196EFM,Equipment and Fleet Management,5.I,Fuel Procurement and Management,Transfers Out,50537,0,0,0
2023,GNFD,General Fund,0001CCO,City Controller's Office GF,9.99,Department Support,Contractual & Other Services,65311,0,65958.06,65958.06
2022,GNFD,General Fund,0001ATT,City Attorney's Office GF,1.28,Police Legal Liaison,Contractual & Other Services,25336,0,1175,1175
2022,INSV,Internal Service Fund,0294PBW,Public Works - Office of the Bond Program,2.56,Street Resurfacing,Contractual & Other Services,78701,0,60681.35,60681.35
2022,GNFD,General Fund,0001CCS,Code Compliance GF,3.10,Consumer Health,Personnel Services,2532256,0,2464988.26,2464988.26
2022,EFOP,Enterprise Operating Fund,0164AVI,Transportation Regulation,2.36,Regulation and Enforcement of For Hire Transportation,Personnel Services,352217,0,411599.02,411599.02
2023,GNFD,General Fund,0001PIO,Mgmt Services - Public Information Office,5.48,Public Information Office / Communications & Broadcasting,Reimbursements,-179729,0,0,0
2022,GNFD,General Fund,0001OCC,Office of Community Care,3.08,Community/Senior Services,Personnel Services,3641409,0,3472636.81,3472636.81
2023,GNFD,General Fund,0001PBW,Public Works GF,2.35,Real Estate and Relocation,Supplies & Materials,14353,0,12012.3,12012.3
2022,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.49,Trinity River Corridor Operations,Capital Outlay,0,0,25441.25,25441.25
2022,GNFD,General Fund,0001PKR,Park and Recreation GF,4.01,Aquatic Services,Reimbursements,0,0,-524754.86,-524754.86
2022,GNFD,General Fund,0001ELE,Elections,5.27,Elections,Contractual & Other Services,183643,27502.47,1709042.22,1736544.69
2023,GNFD,General Fund,0001DPD,Police Department GF,1.20,Police Academy and In-service Training,Contractual & Other Services,2636725,20772.27,2086124.1,2106896.37
2022,GNFD,General Fund,0001PBW,Public Works GF,2.35,Real Estate and Relocation,Contractual & Other Services,202933,0,458680.08,458680.08
2022,GNFD,General Fund,0001OFS,Non-Departmental,2.46,Tax Increment Financing Districts Payments,Contractual & Other Services,76364084,0,76276993.94,76276993.94
2022,GNFD,General Fund,0001CTJ,Judiciary GF,1.05,Court Security,Contractual & Other Services,7820,0,0,0
2023,CVID,COVID-19,FC18MGT,Coronavirus State and Local Fiscal Recovery Funds,3.08,Community/Senior Services,Personnel Services,0,0,2693.42,2693.42
2022,OTHO,Other Operating Fund,0278PER,Employee Benefits Administration,9.99,Department Support,Contractual & Other Services,4484,0,0,0
2022,GNFD,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,3.14,Environmental Quality,Capital Outlay,162488,14787.9,66752,81539.9
2022,GNFD,General Fund,0001CVS,Civil Service GF,5.06,Applicant Processing - Uniform,Contractual & Other Services,99904,690,23685.81,24375.81
2022,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.04,Brush/Bulk Waste Removal Services,Contractual & Other Services,13131467,0,14015190.19,14015190.19
2022,INSV,Internal Service Fund,0194ORM,Office of Risk Management,5.P,Risk Management Services,Contractual & Other Services,0,436834.52,8708280.78,9145115.3
2022,GNFD,General Fund,0001PBW,Public Works GF,2.31,Pavement Management,Personnel Services,591975,0,451334.46,451334.46
2022,GNFD,General Fund,0001ECO,Economic Development GF,9.99,Department Support,Personnel Services,1249503,0,1180485.38,1180485.38
2023,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.O,Public Safety Technology Support,Contractual & Other Services,4628406,371765.76,2904413.78,3276179.54
2022,GNFD,General Fund,0001CCS,Code Compliance GF,3.10,Consumer Health,Supplies & Materials,138345,0,101209.05,101209.05
2023,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.23,Customer Service,Contractual & Other Services,2891,0,3291.26,3291.26
2022,GNFD,General Fund,0001DBI,General Fund DBI,1.37,Data Analytics,Supplies & Materials,173289,861.07,340924.69,341785.76
2022,INSV,Internal Service Fund,0196EFM,Equipment and Fleet Management,5.F,City Fleet Paint and Body Shop Coordination,Transfers Out,8063,0,0,0
2023,INSV,Internal Service Fund,0196EFM,Equipment and Fleet Management,5.H,Environmental Services for City Fleet Operations,Personnel Services,401107,0,262109.92,262109.92
2022,GNFD,General Fund,0001BMS,Office of Financial Services GF,5.56,Performance Planning,Contractual & Other Services,15938,0,26001.63,26001.63
2023,GNFD,General Fund,0001PBW,Public Works GF,5.43,Land Surveying Services,Reimbursements,-109793,0,-68361.47,-68361.47
